features,sv_0,sv_1,sv_2,sv_3,sv_4,cv_std,cv_mean,feature_n
LINC01272,0.14295043,0.19151211,0.03865555,0.036672767,0.13116463,0.068243034,0.108191095,130
PPP1R15A,0.14699605,0.08366048,0.07461201,0.122441,0.11152306,0.029362813,0.10784652,131
ACTN1,0.10374308,0.077314354,0.097496465,0.20001324,0.054786917,0.055586167,0.10667081,132
DNTTIP2,0.070902675,0.14818133,0.07948465,0.10361263,0.12738732,0.03231575,0.10591372,133
MIF,0.15733518,0.08160329,0.054007277,0.13784635,0.09816884,0.041860018,0.10579219,134
NAAA,0.2569805,0.104116775,0.018804103,0.11389081,0.03295009,0.094602086,0.10534845,135
DNAAF1,0.17168182,0.02046176,0.123953395,0.11459609,0.0958731,0.055062022,0.10531324,136
MAFB,0.17780222,0.07844026,0.13593161,0.028410755,0.1044924,0.05663152,0.10501546,137
JCHAIN,0.109629154,0.18226832,0.106931835,0.0,0.1214099,0.0657368,0.10404785,138
SPP1,0.15706447,0.0752707,0.087821156,0.12527986,0.070301555,0.037039675,0.103147544,139
HSP90AA1,0.19153145,0.07201173,0.053541124,0.07509025,0.123537354,0.05577837,0.10314238,140
PHLDA2,0.12815924,0.10578968,0.13369355,0.038749233,0.10837678,0.037881143,0.102953695,141
CCL4L2,0.0950536,0.117740646,0.040228024,0.18364973,0.07536658,0.053588677,0.10240771,142
TNFRSF1B,0.07518233,0.03931813,0.09075237,0.10192322,0.1997284,0.05984071,0.1013809,143
CDKN1A,0.1442883,0.059398476,0.04459461,0.19053628,0.06677222,0.06319483,0.10111798,144
FPR1,0.065209135,0.024665471,0.06921415,0.08575696,0.25535536,0.08968223,0.10004022,145
PEA15,0.13526475,0.08287814,0.10766801,0.12154446,0.04890877,0.03415862,0.09925283,146
CCL20,0.110238865,0.104594946,0.10115788,0.1498408,0.029995818,0.043325797,0.09916566,147
BTG1,0.10172969,0.0767525,0.15600908,0.03163735,0.12939207,0.04799424,0.09910413,148
OASL,0.10462681,0.09656897,0.14262584,0.06635101,0.08352608,0.028486157,0.09873974,149
ZFP36,0.17150085,0.16576734,0.0454612,0.033274256,0.07767279,0.06586924,0.09873529,150
HLA-DQA2,0.12168054,0.07845767,0.24899101,0.03159458,0.011634935,0.094351,0.098471746,151
ZEB2,0.07531873,0.09660967,0.16055171,0.04477635,0.113999486,0.043351803,0.098251194,152
APLP2,0.1350845,0.069677375,0.07755736,0.17124178,0.03567042,0.054416332,0.097846285,153
SLC25A37,0.057663176,0.09411298,0.19208536,0.07083172,0.069869295,0.054812774,0.0969125,154
CTSL,0.19283341,0.05899754,0.041634783,0.0894756,0.09959092,0.058642235,0.096506454,155
NEAT1,0.072199374,0.082163736,0.06993024,0.20479266,0.051808417,0.061697092,0.09617889,156
SEPP1,0.011732595,0.15959959,0.20336896,0.04798097,0.056383505,0.0814695,0.09581312,157
CTSS,0.08512033,0.039228134,0.048002966,0.17493363,0.13144341,0.057296503,0.09574569,158
CPD,0.13966978,0.09073259,0.115485296,0.029210526,0.100100726,0.041193176,0.095039785,159
TMSB10,0.06657995,0.0727728,0.12518439,0.11709374,0.09275215,0.026009396,0.09487661,160
FCAR,0.0055921697,0.07200469,0.06569391,0.17207669,0.154931,0.068755925,0.09405969,161
AKR1B1,0.033377945,0.07912761,0.053205915,0.17362005,0.1297477,0.057396557,0.09381584,162
CDKN1C,0.17246713,0.08561119,0.030436793,0.086303525,0.09415266,0.050810408,0.09379426,163
DNAJA1,0.059927315,0.072955936,0.12726018,0.07860224,0.12516555,0.031269025,0.092782244,164
LGALS2,0.092498936,0.0758178,0.048688106,0.15678324,0.08944825,0.039809916,0.09264726,165
NR4A3,0.052771855,0.09093332,0.05660887,0.107163385,0.15343659,0.04122115,0.0921828,166
ABL2,0.06671086,0.10225013,0.15710409,0.08884932,0.044673555,0.042523034,0.09191759,167
CLK1,0.07256158,0.06642868,0.016163804,0.15073875,0.15209529,0.05882973,0.09159762,168
SERPINB9,0.1205556,0.0625726,0.07323851,0.101477996,0.09694528,0.02314221,0.090958,169
PRDX1,0.06373553,0.067063496,0.12834837,0.11036806,0.08476818,0.027951129,0.09085673,170
GBP1,0.1554662,0.08527322,0.13515708,0.015736885,0.06230623,0.056183133,0.090787925,171
IFI6,0.12716934,0.11179415,0.07040045,0.08665813,0.057821948,0.028654525,0.0907688,172
H2AFZ,0.19630599,0.054048605,0.05889369,0.07649603,0.06536968,0.05989539,0.0902228,173
VSIG4,0.24285118,0.10369962,0.014328309,0.05077694,0.039064903,0.091392145,0.09014419,174
GLRX,0.14219518,0.14185971,0.06997019,0.0,0.093040854,0.05899679,0.08941318,175
CTSC,0.061970554,0.098814994,0.06402544,0.06958124,0.15243968,0.038248084,0.089366384,176
ACTB,0.076478295,0.09712412,0.07236135,0.08855243,0.10684762,0.014280518,0.088272765,177
NFKBIA,0.043944977,0.13476847,0.07521194,0.09018325,0.096799485,0.033066984,0.08818163,178
IDO1,0.065164976,0.06480587,0.060053054,0.16350088,0.08711288,0.043420978,0.08812753,179
GPNMB,0.10518086,0.12179989,0.038157504,0.095005155,0.07077725,0.03260022,0.08618413,180
C1orf54,0.10180224,0.0,0.14317876,0.066521496,0.11732102,0.055396892,0.0857647,181
CXCL2,0.09150292,0.0426733,0.08385314,0.10735287,0.09914817,0.025174044,0.08490608,182
ALDH2,0.04749897,0.06846996,0.0533453,0.04614209,0.20896463,0.06992619,0.08488419,183
LILRB5,0.032500107,0.1521896,0.09664031,0.057947207,0.0798208,0.045160513,0.083819605,184
DUSP1,0.095839605,0.06139669,0.045317434,0.12727466,0.08842167,0.03177681,0.08365001,185
GAPDH,0.07111944,0.06628773,0.09774661,0.08860815,0.09256181,0.0137880305,0.08326475,186
LIMS1,0.0809245,0.07645997,0.17595515,0.052703235,0.029988822,0.055712666,0.08320634,187
FPR3,0.03127593,0.16043638,0.015513022,0.17737556,0.027464714,0.07939687,0.08241312,188
LILRA5,0.050157342,0.14682132,0.10859989,0.06556562,0.03923171,0.044784203,0.08207517,189
EHD1,0.040269084,0.103574626,0.108015575,0.10181777,0.056056637,0.03142265,0.08194674,190
CLEC12A,0.13936873,0.101942636,0.11100359,0.022067739,0.029443307,0.052145343,0.080765195,191
PIK3AP1,0.12143257,0.036713768,0.042635456,0.120152526,0.08181719,0.040621664,0.0805503,192
CD44,0.104667395,0.06093355,0.13406643,0.049181927,0.05363795,0.037211098,0.08049745,193
SPHK1,0.0526276,0.10429585,0.08640395,0.09896543,0.05967889,0.023197006,0.08039434,194
CD1E,0.15621553,0.070790686,0.038996413,0.07261206,0.059809484,0.0448237,0.07968484,195
JUN,0.08782894,0.110093735,0.08240322,0.017764704,0.098385915,0.03599129,0.0792953,196
UPP1,0.07956229,0.04549959,0.062986135,0.15769789,0.05059417,0.04576824,0.07926802,197
MYO1G,0.00661874,0.08506143,0.07734607,0.19196461,0.035044447,0.07066011,0.07920706,198
LYN,0.118177384,0.09577894,0.033069782,0.0925992,0.055069398,0.034218337,0.07893894,199
RPS27L,0.10551982,0.06635492,0.12593155,0.07880583,0.017490696,0.041379463,0.07882056,200
EGR1,0.09106226,0.06052489,0.04470508,0.15076295,0.04348052,0.044918083,0.07810714,201
SLC2A3,0.071570516,0.1139572,0.13109462,0.057757363,0.016151564,0.04579365,0.078106254,202
TRAF1,0.022474306,0.09421393,0.022396054,0.100121036,0.14987816,0.054985076,0.0778167,203
CST7,0.178918,0.035677887,0.01126401,0.07862156,0.08164786,0.064109266,0.077225864,204
H3F3B,0.04377775,0.099249385,0.043767445,0.089850515,0.108192585,0.030988965,0.07696754,205
PPA1,0.12928307,0.053764667,0.027688414,0.13064015,0.043329176,0.049284898,0.076941095,206
S100A6,0.045235164,0.10365377,0.05231347,0.051208533,0.13199951,0.038790878,0.07688209,207
ALG13,0.07840691,0.027534768,0.09917829,0.1703029,0.00825099,0.06397689,0.07673477,208
TREM2,0.022989012,0.082458176,0.1589631,0.056062233,0.06037578,0.050931904,0.076169655,209
SAMSN1,0.055627022,0.07119024,0.0834307,0.087348305,0.07718426,0.012431264,0.074956104,210
